,ros_time,joy_switch,icp_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,icp_pos_x,icp_pos_y,icp_quat_x,icp_quat_y,icp_quat_z,icp_quat_w,voltage_left,current_left,voltage_right,current_right
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1637093324862803215,False,1,0.0,0.0,0.0,0.0,3.0688631534576416,-1.6625813245773315,0.00848718960414301,-0.002008848747651263,0.07796925051903918,0.9969176680901498,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
2,1637093324917317157,False,2,0.0,0.0,0.0,0.0,3.0680229663848877,-1.6612457036972046,0.008333931541247841,-0.0019312269416726436,0.07789735096526845,0.9969246932651554,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
3,1637093324967622545,False,2,0.0,0.0,0.0,0.0,3.0680229663848877,-1.6612457036972046,0.008333931541247841,-0.0019312269416726436,0.07789735096526845,0.9969246932651554,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
4,1637093325017932843,False,3,0.0,0.0,0.0,0.0,3.0680713653564453,-1.659180760383606,0.008769771831505095,-0.0021268001664907785,0.07791763580920266,0.9969189834458326,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
5,1637093325068233339,False,3,0.0,0.0,0.0,0.0,3.0680713653564453,-1.659180760383606,0.008769771831505095,-0.0021268001664907785,0.07791763580920266,0.9969189834458326,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
6,1637093325118542827,False,4,0.0,0.0,0.0,0.0,3.0701260566711426,-1.6597015857696533,0.008679745599017056,-0.0019907391927797865,0.07788300779123775,0.996922750136596,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
7,1637093325168834820,False,4,0.0,0.0,0.0,0.0,3.0701260566711426,-1.6597015857696533,0.008679745599017056,-0.0019907391927797865,0.07788300779123775,0.996922750136596,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
8,1637093325219166875,False,5,0.0,0.0,0.0,0.0,3.071962356567383,-1.6597790718078613,0.00852445770540261,-0.002095229741024425,0.07781663724105883,0.9969290877111603,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
9,1637093325269481875,False,5,0.0,0.0,0.0,0.0,3.071962356567383,-1.6597790718078613,0.00852445770540261,-0.002095229741024425,0.07781663724105883,0.9969290877111603,data: 50.25,data: 0.0,data: 50.5625,data: 0.0
