,ros_time,joy_switch,icp_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,icp_pos_x,icp_pos_y,icp_quat_x,icp_quat_y,icp_quat_z,icp_quat_w,voltage_left,current_left,voltage_right,current_right
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1637093640323261099,False,1,0.0,0.0,0.0,0.0,15.600700378417969,3.649782419204712,0.014177629489754403,-0.00421833915419782,0.2731888211909989,0.9618467510702936,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
2,1637093640373590397,False,1,0.0,0.0,0.0,0.0,15.600700378417969,3.649782419204712,0.014177629489754403,-0.00421833915419782,0.2731888211909989,0.9618467510702936,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
3,1637093640423926821,False,2,0.0,0.0,0.0,0.0,15.600975036621094,3.6505961418151855,0.01453589918499313,-0.004186111957547158,0.27321022148939256,0.961835441668239,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
4,1637093640474246651,False,2,0.0,0.0,0.0,0.0,15.600975036621094,3.6505961418151855,0.01453589918499313,-0.004186111957547158,0.27321022148939256,0.961835441668239,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
5,1637093640528992527,False,3,0.0,0.0,0.0,0.0,15.601340293884277,3.6503868103027344,0.014467525940672368,-0.004152894769100005,0.27318867498560107,0.9618427385716342,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
6,1637093640579251971,False,4,0.0,0.0,0.0,0.0,15.599980354309082,3.650432825088501,0.014318839329576076,-0.004195609211240675,0.27325157687541873,0.9618269130517517,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
7,1637093640629574352,False,4,0.0,0.0,0.0,0.0,15.599980354309082,3.650432825088501,0.014318839329576076,-0.004195609211240675,0.27325157687541873,0.9618269130517517,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
8,1637093640679918966,False,5,0.0,0.0,0.0,0.0,15.59868049621582,3.6501946449279785,0.014271451230492114,-0.003923496939403031,0.27320572387332936,0.9618418400175168,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
9,1637093640730233024,False,5,0.0,0.0,0.0,0.0,15.59868049621582,3.6501946449279785,0.014271451230492114,-0.003923496939403031,0.27320572387332936,0.9618418400175168,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
10,1637093640780534787,False,5,0.0,0.0,0.0,0.0,15.59868049621582,3.6501946449279785,0.014271451230492114,-0.003923496939403031,0.27320572387332936,0.9618418400175168,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
11,1637093640830828280,False,6,0.0,0.0,0.0,0.0,15.599080085754395,3.6509511470794678,0.014489172335397711,-0.003929137309457081,0.27324332532977097,0.9618278735899942,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
12,1637093640881098821,False,6,0.0,0.0,0.0,0.0,15.599080085754395,3.6509511470794678,0.014489172335397711,-0.003929137309457081,0.27324332532977097,0.9618278735899942,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
13,1637093640931414674,False,7,0.0,0.0,0.0,0.0,15.601922988891602,3.650937557220459,0.014565540851494606,-0.004146013943994388,0.2731725395663242,0.9618458757583069,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
14,1637093640981718954,False,8,0.0,0.0,0.0,0.0,15.60076904296875,3.651085615158081,0.01443143427453228,-0.004107758309465271,0.27321023582872794,0.9618374092039047,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
15,1637093641032063215,False,8,0.0,0.0,0.0,0.0,15.60076904296875,3.651085615158081,0.01443143427453228,-0.004107758309465271,0.27321023582872794,0.9618374092039047,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
16,1637093641082332092,False,9,0.0,0.0,0.0,0.0,15.602029800415039,3.6498918533325195,0.014194475541861085,-0.0040148844825968625,0.27316027291411654,0.9618554654161,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
17,1637093641132622340,False,9,0.0,0.0,0.0,0.0,15.602029800415039,3.6498918533325195,0.014194475541861085,-0.0040148844825968625,0.27316027291411654,0.9618554654161,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
18,1637093641182940320,False,10,0.0,0.0,0.0,0.0,15.602193832397461,3.650455951690674,0.014161078136094941,-0.004120890302296729,0.2731307685037574,0.9618638388597801,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
19,1637093641233271667,False,10,0.0,0.0,0.0,0.0,15.602193832397461,3.650455951690674,0.014161078136094941,-0.004120890302296729,0.2731307685037574,0.9618638388597801,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
20,1637093641273534653,False,11,0.0,0.0,0.0,0.0,15.60181999206543,3.6510281562805176,0.014193343633538632,-0.004289076003133004,0.2731728864288308,0.9618507093295973,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
21,1637093641323780994,False,11,0.0,0.0,0.0,0.0,15.60181999206543,3.6510281562805176,0.014193343633538632,-0.004289076003133004,0.2731728864288308,0.9618507093295973,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
22,1637093641374091265,False,11,0.0,0.0,0.0,0.0,15.60181999206543,3.6510281562805176,0.014193343633538632,-0.004289076003133004,0.2731728864288308,0.9618507093295973,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
23,1637093641424323346,False,12,0.0,0.0,0.0,0.0,15.60140609741211,3.651381731033325,0.014243282078282654,-0.00410958477610343,0.2731725436786867,0.9618508797435265,data: 50.125,data: 0.0,data: 50.4375,data: 0.0
