,ros_time,joy_switch,icp_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,icp_pos_x,icp_pos_y,icp_quat_x,icp_quat_y,icp_quat_z,icp_quat_w,voltage_left,current_left,voltage_right,current_right,imu_x,imu_y,imu_z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1637093365406052459,False,1,0.0,0.0,0.0,0.0,3.068152904510498,-1.6637475490570068,0.008267322771053333,-0.002092133713517513,0.07786346787285636,0.9969275855302663,50.25,0.0,50.625,0.0,0.004850117489695549,0.009139043278992176,-0.008998259902000427
2,1637093365456363913,False,1,0.0,0.0,0.0,0.0,3.068152904510498,-1.6637475490570068,0.008267322771053333,-0.002092133713517513,0.07786346787285636,0.9969275855302663,50.25,0.0,50.625,0.0,0.0019121691584587097,-0.001521177007816732,-0.008765564300119877
3,1637093365506699246,False,2,0.0,0.0,0.0,0.0,3.0677618980407715,-1.6607190370559692,0.008376688273902972,-0.0020836087186842283,0.0778091030103726,0.9969309187246119,50.25,0.0,50.625,0.0,0.00048247756785713136,0.007305714301764965,-0.00956342089921236
4,1637093365557113314,False,2,0.0,0.0,0.0,0.0,3.0677618980407715,-1.6607190370559692,0.008376688273902972,-0.0020836087186842283,0.0778091030103726,0.9969309187246119,50.25,0.0,50.625,0.0,9.345956641482189e-05,0.0037922479677945375,-0.012635068967938423
5,1637093365607435792,False,3,0.0,0.0,0.0,0.0,3.0665860176086426,-1.6604790687561035,0.008782865177705011,-0.002109304905524492,0.07786110227987546,0.9969233779170064,50.25,0.0,50.625,0.0,-0.008586759679019451,0.0014116556849330664,-0.0033383734989911318
6,1637093365657797399,False,3,0.0,0.0,0.0,0.0,3.0665860176086426,-1.6604790687561035,0.008782865177705011,-0.002109304905524492,0.07786110227987546,0.9969233779170064,50.25,0.0,50.625,0.0,0.003944448661059141,0.01333971880376339,-0.013661912642419338
7,1637093365708161148,False,4,0.0,0.0,0.0,0.0,3.066145896911621,-1.6625934839248657,0.008493933780175097,-0.0022345805855720656,0.07785009532926203,0.9969264196569675,50.25,0.0,50.5625,0.0,0.004640552680939436,-0.0020798298064619303,-0.005843893624842167
8,1637093365758545345,False,4,0.0,0.0,0.0,0.0,3.066145896911621,-1.6625934839248657,0.008493933780175097,-0.0022345805855720656,0.07785009532926203,0.9969264196569675,50.25,0.0,50.5625,0.0,-0.006201175041496754,-0.006709408480674028,-0.011381587013602257
9,1637093365809157487,False,5,0.0,0.0,0.0,0.0,3.0664472579956055,-1.6630700826644897,0.008396350131996392,-0.0020656908587972866,0.07786559150316992,0.9969263748156596,50.25,0.0,50.5625,0.0,0.0048849573358893394,0.003186397487297654,-0.02056983858346939
10,1637093365859534657,False,5,0.0,0.0,0.0,0.0,3.0664472579956055,-1.6630700826644897,0.008396350131996392,-0.0020656908587972866,0.07786559150316992,0.9969263748156596,50.25,0.0,50.5625,0.0,0.0021051575895398855,0.003218337893486023,-0.0045112608931958675
11,1637093365910044391,False,6,0.0,0.0,0.0,0.0,3.0652904510498047,-1.662043571472168,0.008539455189324332,-0.0018576157538120646,0.07788268234317412,0.9969242373776412,50.25,0.0,50.5625,0.0,0.011779150925576687,0.000451106607215479,-0.012083133682608604
12,1637093365960385372,False,6,0.0,0.0,0.0,0.0,3.0652904510498047,-1.662043571472168,0.008539455189324332,-0.0018576157538120646,0.07788268234317412,0.9969242373776412,50.25,0.0,50.5625,0.0,0.0028946823440492153,0.0073537942953407764,-0.010350288823246956
13,1637093366010714616,False,7,0.0,0.0,0.0,0.0,3.0657994747161865,-1.6642699241638184,0.00831668416421991,-0.0019326815883346775,0.07788468677746918,0.9969258441933624,50.25,0.0,50.5625,0.0,0.014880719594657421,0.0013236419763416052,0.005172165110707283
14,1637093366061126481,False,7,0.0,0.0,0.0,0.0,3.0657994747161865,-1.6642699241638184,0.00831668416421991,-0.0019326815883346775,0.07788468677746918,0.9969258441933624,50.25,0.0,50.5625,0.0,0.006124217063188553,-0.006437012460082769,-0.007405142765492201
15,1637093366111398677,False,8,0.0,0.0,0.0,0.0,3.0668725967407227,-1.6636052131652832,0.008127523092036359,-0.0020705246940388514,0.07785475868457348,0.9969294838082329,50.25,0.0,50.5625,0.0,-0.010390987619757652,0.006685866042971611,-0.0045626419596374035
16,1637093366161786106,False,8,0.0,0.0,0.0,0.0,3.0668725967407227,-1.6636052131652832,0.008127523092036359,-0.0020705246940388514,0.07785475868457348,0.9969294838082329,50.25,0.0,50.5625,0.0,-0.005623665638267994,-0.0005662975017912686,-0.007544471882283688
17,1637093366212543072,False,9,0.0,0.0,0.0,0.0,3.067009210586548,-1.6623018980026245,0.008440369893076243,-0.0019082185106190442,0.07783332562371498,0.9969288485581346,50.25,0.0,50.5625,0.0,-0.0033840558025985956,0.0007579195080325007,-0.005101136863231659
18,1637093366262875935,False,9,0.0,0.0,0.0,0.0,3.067009210586548,-1.6623018980026245,0.008440369893076243,-0.0019082185106190442,0.07783332562371498,0.9969288485581346,50.25,0.0,50.5625,0.0,-0.003975430969148874,0.002478186972439289,-0.009206132031977177
19,1637093366313197525,False,10,0.0,0.0,0.0,0.0,3.0665407180786133,-1.6627264022827148,0.008523018390759586,-0.0020901556731581046,0.07787731445419252,0.9969243569547143,50.25,0.0,50.5625,0.0,0.006676523480564356,-0.0014192486414685845,-0.0009216429898515344
