,ros_time,joy_switch,icp_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,icp_pos_x,icp_pos_y,icp_quat_x,icp_quat_y,icp_quat_z,icp_quat_w,voltage_left,current_left,voltage_right,current_right,imu_x,imu_y,imu_z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1637093642631417482,False,1,0.0,0.0,0.0,0.0,15.601350784301758,3.6515159606933594,0.014403310417625284,-0.004050177409600558,0.27319845055624375,0.9618413752478164,50.125,0.0,50.4375,0.0,-4.2104089516215026e-05,0.0011960645206272602,-0.007790301460772753
2,1637093642681756789,False,1,0.0,0.0,0.0,0.0,15.601350784301758,3.6515159606933594,0.014403310417625284,-0.004050177409600558,0.27319845055624375,0.9618413752478164,50.125,0.0,50.4375,0.0,0.002298993756994605,0.011910302564501762,-0.006012477446347475
3,1637093642732068335,False,2,0.0,0.0,0.0,0.0,15.601408958435059,3.6495633125305176,0.014156251286563707,-0.00394767849325482,0.2732043881962058,0.9618438152862381,50.125,0.0,50.4375,0.0,0.012147505767643452,-9.951062384061515e-05,-0.005733882077038288
4,1637093642783651039,False,3,0.0,0.0,0.0,0.0,15.601556777954102,3.651398181915283,0.014478333721803321,-0.004065779369517238,0.27315317111553045,0.9618530331533023,50.125,0.0,50.4375,0.0,-0.0024992041289806366,-0.010198315605521202,-0.0012641326757147908
5,1637093642833970512,False,3,0.0,0.0,0.0,0.0,15.601556777954102,3.651398181915283,0.014478333721803321,-0.004065779369517238,0.27315317111553045,0.9618530331533023,50.125,0.0,50.4375,0.0,-0.002587195485830307,-0.0038095612544566393,-0.004494977183640003
6,1637093642884355258,False,4,0.0,0.0,0.0,0.0,15.601166725158691,3.6517868041992188,0.014297671220429705,-0.004019174048357282,0.2731676121460933,0.9618518247656763,50.125,0.0,50.4375,0.0,-0.015545185655355453,0.0003008547064382583,-0.015245840884745121
7,1637093642938381112,False,4,0.0,0.0,0.0,0.0,15.601166725158691,3.6517868041992188,0.014297671220429705,-0.004019174048357282,0.2731676121460933,0.9618518247656763,50.125,0.0,50.4375,0.0,-0.007871476002037525,0.003608305938541889,-0.00911321584135294
8,1637093642988670210,False,4,0.0,0.0,0.0,0.0,15.601166725158691,3.6517868041992188,0.014297671220429705,-0.004019174048357282,0.2731676121460933,0.9618518247656763,50.125,0.0,50.4375,0.0,0.0015306335408240557,0.002292909659445286,-0.0015690285945311189
9,1637093643038979292,False,5,0.0,0.0,0.0,0.0,15.60084056854248,3.6514363288879395,0.014456303237755232,-0.0037866931453887065,0.2732038707860712,0.9618401281146772,50.125,0.0,50.4375,0.0,-0.0096276318654418,0.0015899739228188992,-0.0024971270468086004
10,1637093643091346516,False,5,0.0,0.0,0.0,0.0,15.60084056854248,3.6514363288879395,0.014456303237755232,-0.0037866931453887065,0.2732038707860712,0.9618401281146772,50.125,0.0,50.4375,0.0,0.003669923637062311,0.004133101087063551,-0.006928731221705675
11,1637093643131585248,False,5,0.0,0.0,0.0,0.0,15.60084056854248,3.6514363288879395,0.014456303237755232,-0.0037866931453887065,0.2732038707860712,0.9618401281146772,50.125,0.0,50.4375,0.0,0.006021168548613787,7.352529792115092e-05,-0.000220664864173159
12,1637093643181890850,False,6,0.0,0.0,0.0,0.0,15.602949142456055,3.650189161300659,0.014209493400436745,-0.00413187037182206,0.2732385435452047,0.9618325445808381,50.125,0.0,50.4375,0.0,-0.002327493391931057,0.004557021427899599,-0.008987689390778542
13,1637093643232199561,False,7,0.0,0.0,0.0,0.0,15.60246467590332,3.650925874710083,0.01415233282870278,-0.0040935332082972535,0.2731415748766717,0.9618610812860078,50.125,0.0,50.4375,0.0,0.004343735985457897,0.002219179179519415,-0.005380371119827032
14,1637093643282496299,False,7,0.0,0.0,0.0,0.0,15.60246467590332,3.650925874710083,0.01415233282870278,-0.0040935332082972535,0.2731415748766717,0.9618610812860078,50.125,0.0,50.4375,0.0,0.008574938401579857,0.001963519724085927,-0.012591777369379997
15,1637093643332803771,False,8,0.0,0.0,0.0,0.0,15.60317611694336,3.650954246520996,0.014129405706923968,-0.004110164887616287,0.27317995260072364,0.9618504304703754,50.125,0.0,50.4375,0.0,-0.003604145720601082,-0.006092555355280638,-0.014575260691344738
16,1637093643383131237,False,9,0.0,0.0,0.0,0.0,15.60267448425293,3.65244197845459,0.014253401028714778,-0.004098830242743018,0.2731018332042569,0.9618708644403758,50.1875,0.0,50.4375,0.0,-0.0006881266599521041,-0.0004944352549500763,0.004369008354842663
17,1637093643433428593,False,9,0.0,0.0,0.0,0.0,15.60267448425293,3.65244197845459,0.014253401028714778,-0.004098830242743018,0.2731018332042569,0.9618708644403758,50.1875,0.0,50.4375,0.0,-0.010111965239048004,-0.0008481189142912626,-0.005752209108322859
18,1637093643483759888,False,10,0.0,0.0,0.0,0.0,15.603200912475586,3.6515722274780273,0.014472277238790446,-0.004120222892139658,0.27322276430416303,0.9618331178020323,50.1875,0.0,50.5,0.0,0.004078574012964964,-0.0011007552966475487,-0.0054437690414488316
19,1637093643534085705,False,10,0.0,0.0,0.0,0.0,15.603200912475586,3.6515722274780273,0.014472277238790446,-0.004120222892139658,0.27322276430416303,0.9618331178020323,50.1875,0.0,50.5,0.0,-0.0030566249042749405,0.002542463829740882,-0.0014766915701329708
